Good Friday given in mod 5,700,000 (full-cycle)

This is for [years] mod 5,700,000 --> 1400000 through 1409999



1400000 --> Friday, 04 - 14
1400518 --> Friday, 04 - 22

1400519 --> Friday, 04 - 07

1400520 --> Friday, 03 - 29

1400521 --> Friday, 04 - 18

1400522 --> Friday, 04 - 03

1400523 --> Friday, 03 - 26

1400524 --> Friday, 04 - 14

1400525 --> Friday, 04 - 06

1400526 --> Friday, 03 - 22

1400527 --> Friday, 04 - 11

1400528 --> Friday, 04 - 02

1400529 --> Friday, 04 - 15

1400530 --> Friday, 04 - 07

1400531 --> Friday, 03 - 30

1400532 --> Friday, 04 - 18

1400533 --> Friday, 04 - 03

1400534 --> Friday, 03 - 26

1400535 --> Friday, 04 - 15

1400536 --> Friday, 03 - 30

1400537 --> Friday, 04 - 19

1400538 --> Friday, 04 - 11

1400539 --> Friday, 03 - 27

1400540 --> Friday, 04 - 15

1400541 --> Friday, 04 - 07

1400542 --> Friday, 03 - 23

1400543 --> Friday, 04 - 12

1400544 --> Friday, 04 - 03

1400545 --> Friday, 03 - 26

1400546 --> Friday, 04 - 08

1400547 --> Friday, 03 - 31

1400548 --> Friday, 04 - 19

1400549 --> Friday, 04 - 04

1400550 --> Friday, 03 - 27

1400551 --> Friday, 04 - 16

1400552 --> Friday, 04 - 07

1400553 --> Friday, 03 - 23

1400554 --> Friday, 04 - 12

1400555 --> Friday, 04 - 04

1400556 --> Friday, 04 - 23

1400557 --> Friday, 04 - 08

1400558 --> Friday, 03 - 31

1400559 --> Friday, 04 - 20

1400560 --> Friday, 04 - 04

1400561 --> Friday, 03 - 27

1400562 --> Friday, 04 - 16

1400563 --> Friday, 04 - 01

1400564 --> Friday, 03 - 23

1400565 --> Friday, 04 - 12

1400566 --> Friday, 03 - 28

1400567 --> Friday, 04 - 17

1400568 --> Friday, 04 - 08

1400569 --> Friday, 03 - 24

1400570 --> Friday, 04 - 13

1400571 --> Friday, 04 - 05

1400572 --> Friday, 03 - 27

1400573 --> Friday, 04 - 09

1400574 --> Friday, 04 - 01

1400575 --> Friday, 04 - 21

1400576 --> Friday, 04 - 12

1400577 --> Friday, 03 - 28

1400578 --> Friday, 04 - 17

1400579 --> Friday, 04 - 09

1400580 --> Friday, 03 - 24

1400581 --> Friday, 04 - 13

1400582 --> Friday, 04 - 05

1400583 --> Friday, 03 - 21

1400584 --> Friday, 04 - 09

1400585 --> Friday, 04 - 01

1400586 --> Friday, 04 - 21

1400587 --> Friday, 04 - 06

1400588 --> Friday, 03 - 28

1400589 --> Friday, 04 - 17

1400590 --> Friday, 04 - 02

1400591 --> Friday, 03 - 25

1400592 --> Friday, 04 - 13

1400593 --> Friday, 03 - 29

1400594 --> Friday, 04 - 18

1400595 --> Friday, 04 - 10

1400596 --> Friday, 04 - 01

1400597 --> Friday, 04 - 14

1400598 --> Friday, 04 - 06

1400599 --> Friday, 03 - 29

1400600 --> Friday, 04 - 18

1400601 --> Friday, 04 - 03

1400602 --> Friday, 03 - 26

1400603 --> Friday, 04 - 15

1400604 --> Friday, 03 - 30

1400605 --> Friday, 04 - 19

1400606 --> Friday, 04 - 11

1400607 --> Friday, 03 - 27

1400608 --> Friday, 04 - 15

1400609 --> Friday, 04 - 07

1400610 --> Friday, 03 - 23

1400611 --> Friday, 04 - 12

1400612 --> Friday, 04 - 03

1400613 --> Friday, 04 - 23

1400614 --> Friday, 04 - 08

1400615 --> Friday, 03 - 31

1400616 --> Friday, 04 - 19

1400617 --> Friday, 04 - 04

1400618 --> Friday, 03 - 27

1400619 --> Friday, 04 - 16

1400620 --> Friday, 04 - 07

1400621 --> Friday, 03 - 23

1400622 --> Friday, 04 - 12

1400623 --> Friday, 03 - 28

1400624 --> Friday, 04 - 16

1400625 --> Friday, 04 - 08

1400626 --> Friday, 03 - 31

1400627 --> Friday, 04 - 13

1400628 --> Friday, 04 - 04

1400629 --> Friday, 03 - 27

1400630 --> Friday, 04 - 16

1400631 --> Friday, 04 - 01

1400632 --> Friday, 04 - 20

1400633 --> Friday, 04 - 12

1400634 --> Friday, 03 - 28

1400635 --> Friday, 04 - 17

1400636 --> Friday, 04 - 08

1400637 --> Friday, 03 - 24

1400638 --> Friday, 04 - 13

1400639 --> Friday, 04 - 05

1400640 --> Friday, 03 - 27

1400641 --> Friday, 04 - 09

1400642 --> Friday, 04 - 01

1400643 --> Friday, 04 - 21

1400644 --> Friday, 04 - 05

1400645 --> Friday, 03 - 28

1400646 --> Friday, 04 - 17

1400647 --> Friday, 04 - 02

1400648 --> Friday, 03 - 24

1400649 --> Friday, 04 - 13

1400650 --> Friday, 04 - 05

1400651 --> Friday, 04 - 18

1400652 --> Friday, 04 - 09

1400653 --> Friday, 04 - 01

1400654 --> Friday, 04 - 21

1400655 --> Friday, 04 - 06

1400656 --> Friday, 03 - 28

1400657 --> Friday, 04 - 17

1400658 --> Friday, 04 - 02

1400659 --> Friday, 03 - 25

1400660 --> Friday, 04 - 13

1400661 --> Friday, 03 - 29

1400662 --> Friday, 04 - 18

1400663 --> Friday, 04 - 10

1400664 --> Friday, 03 - 25

1400665 --> Friday, 04 - 14

1400666 --> Friday, 04 - 06

1400667 --> Friday, 03 - 22

1400668 --> Friday, 04 - 10

1400669 --> Friday, 04 - 02

1400670 --> Friday, 04 - 22

1400671 --> Friday, 04 - 07

1400672 --> Friday, 03 - 29

1400673 --> Friday, 04 - 18

1400674 --> Friday, 04 - 10

1400675 --> Friday, 03 - 26

1400676 --> Friday, 04 - 14

1400677 --> Friday, 04 - 06

1400678 --> Friday, 03 - 22

1400679 --> Friday, 04 - 11

1400680 --> Friday, 04 - 02

1400681 --> Friday, 04 - 22

1400682 --> Friday, 04 - 07

1400683 --> Friday, 03 - 30

1400684 --> Friday, 04 - 18

1400685 --> Friday, 04 - 03

1400686 --> Friday, 03 - 26

1400687 --> Friday, 04 - 15

1400688 --> Friday, 03 - 30

1400689 --> Friday, 04 - 19

1400690 --> Friday, 04 - 11

1400691 --> Friday, 03 - 27

1400692 --> Friday, 04 - 15

1400693 --> Friday, 04 - 07

1400694 --> Friday, 03 - 30

1400695 --> Friday, 04 - 12

1400696 --> Friday, 04 - 03

1400697 --> Friday, 03 - 26

1400698 --> Friday, 04 - 15

1400699 --> Friday, 03 - 31

1400700 --> Friday, 04 - 20

1400701 --> Friday, 04 - 12

1400702 --> Friday, 03 - 28

1400703 --> Friday, 04 - 17

1400704 --> Friday, 04 - 08

1400705 --> Friday, 03 - 24

1400706 --> Friday, 04 - 13

1400707 --> Friday, 04 - 05

1400708 --> Friday, 03 - 20

1400709 --> Friday, 04 - 09

1400710 --> Friday, 04 - 01

1400711 --> Friday, 04 - 21

1400712 --> Friday, 04 - 05

1400713 --> Friday, 03 - 28

1400714 --> Friday, 04 - 17

1400715 --> Friday, 04 - 02

1400716 --> Friday, 03 - 24

1400717 --> Friday, 04 - 13

1400718 --> Friday, 03 - 29

1400719 --> Friday, 04 - 18

1400720 --> Friday, 04 - 09

1400721 --> Friday, 04 - 01

1400722 --> Friday, 04 - 14

1400723 --> Friday, 04 - 06

1400724 --> Friday, 03 - 28

1400725 --> Friday, 04 - 17

1400726 --> Friday, 04 - 02

1400727 --> Friday, 03 - 25

1400728 --> Friday, 04 - 13

1400729 --> Friday, 03 - 29

1400730 --> Friday, 04 - 18

1400731 --> Friday, 04 - 10

1400732 --> Friday, 03 - 25

1400733 --> Friday, 04 - 14

1400734 --> Friday, 04 - 06

1400735 --> Friday, 03 - 22

1400736 --> Friday, 04 - 10

1400737 --> Friday, 04 - 02

1400738 --> Friday, 04 - 22

1400739 --> Friday, 04 - 07

1400740 --> Friday, 03 - 29

1400741 --> Friday, 04 - 18

1400742 --> Friday, 04 - 03

1400743 --> Friday, 03 - 26

1400744 --> Friday, 04 - 14

1400745 --> Friday, 04 - 06

1400746 --> Friday, 03 - 22

1400747 --> Friday, 04 - 11

