Easter Sunday given in mod 5,700,000 (full-cycle)

This is for [years] mod 5,700,000 --> 4730000 through 4739999



4730000 --> Sunday, 04 - 23
4730304 --> Sunday, 04 - 24

4730305 --> Sunday, 04 - 09

4730306 --> Sunday, 04 - 01

4730307 --> Sunday, 04 - 21

4730308 --> Sunday, 04 - 12

4730309 --> Sunday, 03 - 28

4730310 --> Sunday, 04 - 17

4730311 --> Sunday, 04 - 09

4730312 --> Sunday, 03 - 24

4730313 --> Sunday, 04 - 13

4730314 --> Sunday, 04 - 05

4730315 --> Sunday, 04 - 18

4730316 --> Sunday, 04 - 09

4730317 --> Sunday, 04 - 01

4730318 --> Sunday, 04 - 21

4730319 --> Sunday, 04 - 06

4730320 --> Sunday, 03 - 28

4730321 --> Sunday, 04 - 17

4730322 --> Sunday, 04 - 02

4730323 --> Sunday, 04 - 22

4730324 --> Sunday, 04 - 13

4730325 --> Sunday, 03 - 29

4730326 --> Sunday, 04 - 18

4730327 --> Sunday, 04 - 10

4730328 --> Sunday, 04 - 01

4730329 --> Sunday, 04 - 14

4730330 --> Sunday, 04 - 06

4730331 --> Sunday, 03 - 29

4730332 --> Sunday, 04 - 17

4730333 --> Sunday, 04 - 02

4730334 --> Sunday, 04 - 22

4730335 --> Sunday, 04 - 07

4730336 --> Sunday, 03 - 29

4730337 --> Sunday, 04 - 18

4730338 --> Sunday, 04 - 10

4730339 --> Sunday, 03 - 26

4730340 --> Sunday, 04 - 14

4730341 --> Sunday, 04 - 06

4730342 --> Sunday, 04 - 19

4730343 --> Sunday, 04 - 11

4730344 --> Sunday, 04 - 02

4730345 --> Sunday, 04 - 22

4730346 --> Sunday, 04 - 07

4730347 --> Sunday, 03 - 30

4730348 --> Sunday, 04 - 18

4730349 --> Sunday, 04 - 03

4730350 --> Sunday, 03 - 26

4730351 --> Sunday, 04 - 15

4730352 --> Sunday, 04 - 06

4730353 --> Sunday, 04 - 19

4730354 --> Sunday, 04 - 11

4730355 --> Sunday, 03 - 27

4730356 --> Sunday, 04 - 15

4730357 --> Sunday, 04 - 07

4730358 --> Sunday, 03 - 30

4730359 --> Sunday, 04 - 12

4730360 --> Sunday, 04 - 03

4730361 --> Sunday, 04 - 23

4730362 --> Sunday, 04 - 15

4730363 --> Sunday, 03 - 31

4730364 --> Sunday, 04 - 19

4730365 --> Sunday, 04 - 11

4730366 --> Sunday, 03 - 27

4730367 --> Sunday, 04 - 16

4730368 --> Sunday, 04 - 07

4730369 --> Sunday, 03 - 23

4730370 --> Sunday, 04 - 12

4730371 --> Sunday, 04 - 04

4730372 --> Sunday, 04 - 23

4730373 --> Sunday, 04 - 08

4730374 --> Sunday, 03 - 31

4730375 --> Sunday, 04 - 20

4730376 --> Sunday, 04 - 04

4730377 --> Sunday, 03 - 27

4730378 --> Sunday, 04 - 16

4730379 --> Sunday, 04 - 01

4730380 --> Sunday, 04 - 20

4730381 --> Sunday, 04 - 12

4730382 --> Sunday, 04 - 04

4730383 --> Sunday, 04 - 17

4730384 --> Sunday, 04 - 08

4730385 --> Sunday, 03 - 31

4730386 --> Sunday, 04 - 20

4730387 --> Sunday, 04 - 05

4730388 --> Sunday, 03 - 27

4730389 --> Sunday, 04 - 16

4730390 --> Sunday, 04 - 01

4730391 --> Sunday, 04 - 21

4730392 --> Sunday, 04 - 12

4730393 --> Sunday, 03 - 28

4730394 --> Sunday, 04 - 17

4730395 --> Sunday, 04 - 09

4730396 --> Sunday, 03 - 24

4730397 --> Sunday, 04 - 13

4730398 --> Sunday, 04 - 05

4730399 --> Sunday, 04 - 25

4730400 --> Sunday, 04 - 09

4730401 --> Sunday, 04 - 01

4730402 --> Sunday, 04 - 21

4730403 --> Sunday, 04 - 06

4730404 --> Sunday, 03 - 28

4730405 --> Sunday, 04 - 17

4730406 --> Sunday, 04 - 09

4730407 --> Sunday, 03 - 25

4730408 --> Sunday, 04 - 13

4730409 --> Sunday, 04 - 05

4730410 --> Sunday, 04 - 18

4730411 --> Sunday, 04 - 10

4730412 --> Sunday, 04 - 01

4730413 --> Sunday, 04 - 21

4730414 --> Sunday, 04 - 06

4730415 --> Sunday, 03 - 29

4730416 --> Sunday, 04 - 17

4730417 --> Sunday, 04 - 02

4730418 --> Sunday, 04 - 22

4730419 --> Sunday, 04 - 14

4730420 --> Sunday, 03 - 29

4730421 --> Sunday, 04 - 18

4730422 --> Sunday, 04 - 10

4730423 --> Sunday, 03 - 26

4730424 --> Sunday, 04 - 14

4730425 --> Sunday, 04 - 06

4730426 --> Sunday, 03 - 29

4730427 --> Sunday, 04 - 11

4730428 --> Sunday, 04 - 02

4730429 --> Sunday, 04 - 22

4730430 --> Sunday, 04 - 07

4730431 --> Sunday, 03 - 30

4730432 --> Sunday, 04 - 18

4730433 --> Sunday, 04 - 10

4730434 --> Sunday, 03 - 26

4730435 --> Sunday, 04 - 15

4730436 --> Sunday, 04 - 06

4730437 --> Sunday, 04 - 19

4730438 --> Sunday, 04 - 11

4730439 --> Sunday, 04 - 03

4730440 --> Sunday, 04 - 22

4730441 --> Sunday, 04 - 07

4730442 --> Sunday, 03 - 30

4730443 --> Sunday, 04 - 19

4730444 --> Sunday, 04 - 03

4730445 --> Sunday, 03 - 26

4730446 --> Sunday, 04 - 15

4730447 --> Sunday, 03 - 31

4730448 --> Sunday, 04 - 19

4730449 --> Sunday, 04 - 11

4730450 --> Sunday, 03 - 27

4730451 --> Sunday, 04 - 16

4730452 --> Sunday, 04 - 07

4730453 --> Sunday, 03 - 30

4730454 --> Sunday, 04 - 12

4730455 --> Sunday, 04 - 04

4730456 --> Sunday, 04 - 23

4730457 --> Sunday, 04 - 15

4730458 --> Sunday, 03 - 31

4730459 --> Sunday, 04 - 20

4730460 --> Sunday, 04 - 11

4730461 --> Sunday, 03 - 27

4730462 --> Sunday, 04 - 16

4730463 --> Sunday, 04 - 08

4730464 --> Sunday, 03 - 23

4730465 --> Sunday, 04 - 12

4730466 --> Sunday, 04 - 04

4730467 --> Sunday, 04 - 24

4730468 --> Sunday, 04 - 08

4730469 --> Sunday, 03 - 31

4730470 --> Sunday, 04 - 20

4730471 --> Sunday, 04 - 05

4730472 --> Sunday, 03 - 27

4730473 --> Sunday, 04 - 16

4730474 --> Sunday, 04 - 01

4730475 --> Sunday, 04 - 21

4730476 --> Sunday, 04 - 12

4730477 --> Sunday, 04 - 04

4730478 --> Sunday, 04 - 17

4730479 --> Sunday, 04 - 09

4730480 --> Sunday, 03 - 31

4730481 --> Sunday, 04 - 20

4730482 --> Sunday, 04 - 05

4730483 --> Sunday, 03 - 28

4730484 --> Sunday, 04 - 16

4730485 --> Sunday, 04 - 01

4730486 --> Sunday, 04 - 21

4730487 --> Sunday, 04 - 13

4730488 --> Sunday, 03 - 28

4730489 --> Sunday, 04 - 17

4730490 --> Sunday, 04 - 09

4730491 --> Sunday, 03 - 25

4730492 --> Sunday, 04 - 13

4730493 --> Sunday, 04 - 05

4730494 --> Sunday, 04 - 25

4730495 --> Sunday, 04 - 10

4730496 --> Sunday, 04 - 01

4730497 --> Sunday, 04 - 21

4730498 --> Sunday, 04 - 06

4730499 --> Sunday, 03 - 29

4730500 --> Sunday, 04 - 18

4730501 --> Sunday, 04 - 03

4730502 --> Sunday, 03 - 26

4730503 --> Sunday, 04 - 15

4730504 --> Sunday, 04 - 06

4730505 --> Sunday, 04 - 19

4730506 --> Sunday, 04 - 11

4730507 --> Sunday, 03 - 27

4730508 --> Sunday, 04 - 15

4730509 --> Sunday, 04 - 07

4730510 --> Sunday, 03 - 30

4730511 --> Sunday, 04 - 12

4730512 --> Sunday, 04 - 03

4730513 --> Sunday, 04 - 23

4730514 --> Sunday, 04 - 15

4730515 --> Sunday, 03 - 31

4730516 --> Sunday, 04 - 19

4730517 --> Sunday, 04 - 11

4730518 --> Sunday, 03 - 27

4730519 --> Sunday, 04 - 16

4730520 --> Sunday, 04 - 07

4730521 --> Sunday, 03 - 23

4730522 --> Sunday, 04 - 12

4730523 --> Sunday, 04 - 04

4730524 --> Sunday, 04 - 23

4730525 --> Sunday, 04 - 08

4730526 --> Sunday, 03 - 31

4730527 --> Sunday, 04 - 20

4730528 --> Sunday, 04 - 04

4730529 --> Sunday, 03 - 27

4730530 --> Sunday, 04 - 16

4730531 --> Sunday, 04 - 01

4730532 --> Sunday, 04 - 20

4730533 --> Sunday, 04 - 12

4730534 --> Sunday, 04 - 04

4730535 --> Sunday, 04 - 17

4730536 --> Sunday, 04 - 08

4730537 --> Sunday, 03 - 31

4730538 --> Sunday, 04 - 20

4730539 --> Sunday, 04 - 05

4730540 --> Sunday, 03 - 27

4730541 --> Sunday, 04 - 16

4730542 --> Sunday, 04 - 01

4730543 --> Sunday, 04 - 21

4730544 --> Sunday, 04 - 12

4730545 --> Sunday, 03 - 28

4730546 --> Sunday, 04 - 17

4730547 --> Sunday, 04 - 09

4730548 --> Sunday, 03 - 24

4730549 --> Sunday, 04 - 13

4730550 --> Sunday, 04 - 05

4730551 --> Sunday, 04 - 25

4730552 --> Sunday, 04 - 09

4730553 --> Sunday, 04 - 01

4730554 --> Sunday, 04 - 21

4730555 --> Sunday, 04 - 06

4730556 --> Sunday, 03 - 28

4730557 --> Sunday, 04 - 17

4730558 --> Sunday, 04 - 09

4730559 --> Sunday, 03 - 25

4730560 --> Sunday, 04 - 13

4730561 --> Sunday, 04 - 05

4730562 --> Sunday, 04 - 18

4730563 --> Sunday, 04 - 10

4730564 --> Sunday, 04 - 01

4730565 --> Sunday, 04 - 21

4730566 --> Sunday, 04 - 06

4730567 --> Sunday, 03 - 29

4730568 --> Sunday, 04 - 17

4730569 --> Sunday, 04 - 02

4730570 --> Sunday, 04 - 22

4730571 --> Sunday, 04 - 14

4730572 --> Sunday, 03 - 29

4730573 --> Sunday, 04 - 18

4730574 --> Sunday, 04 - 10

4730575 --> Sunday, 03 - 26

4730576 --> Sunday, 04 - 14

4730577 --> Sunday, 04 - 06

4730578 --> Sunday, 03 - 29

4730579 --> Sunday, 04 - 11

4730580 --> Sunday, 04 - 02

4730581 --> Sunday, 04 - 22

4730582 --> Sunday, 04 - 07

4730583 --> Sunday, 03 - 30

4730584 --> Sunday, 04 - 18

4730585 --> Sunday, 04 - 10

4730586 --> Sunday, 03 - 26

4730587 --> Sunday, 04 - 15

4730588 --> Sunday, 04 - 06

4730589 --> Sunday, 04 - 19

4730590 --> Sunday, 04 - 11

4730591 --> Sunday, 04 - 03

4730592 --> Sunday, 04 - 22

4730593 --> Sunday, 04 - 07

4730594 --> Sunday, 03 - 30

4730595 --> Sunday, 04 - 19

4730596 --> Sunday, 04 - 03

4730597 --> Sunday, 03 - 26

4730598 --> Sunday, 04 - 15

4730599 --> Sunday, 03 - 31

4730600 --> Sunday, 04 - 20

4730601 --> Sunday, 04 - 12

4730602 --> Sunday, 03 - 28

4730603 --> Sunday, 04 - 17

4730604 --> Sunday, 04 - 08

4730605 --> Sunday, 03 - 31

4730606 --> Sunday, 04 - 13

4730607 --> Sunday, 04 - 05

4730608 --> Sunday, 03 - 27

4730609 --> Sunday, 04 - 16

4730610 --> Sunday, 04 - 01

4730611 --> Sunday, 04 - 21

4730612 --> Sunday, 04 - 12

4730613 --> Sunday, 03 - 28

4730614 --> Sunday, 04 - 17

4730615 --> Sunday, 04 - 09

4730616 --> Sunday, 03 - 24

4730617 --> Sunday, 04 - 13

4730618 --> Sunday, 04 - 05

4730619 --> Sunday, 04 - 25

4730620 --> Sunday, 04 - 09

4730621 --> Sunday, 04 - 01

4730622 --> Sunday, 04 - 21

4730623 --> Sunday, 04 - 06

4730624 --> Sunday, 03 - 28

4730625 --> Sunday, 04 - 17

4730626 --> Sunday, 04 - 02

4730627 --> Sunday, 03 - 25

4730628 --> Sunday, 04 - 13

4730629 --> Sunday, 04 - 05

4730630 --> Sunday, 04 - 18

4730631 --> Sunday, 04 - 10

4730632 --> Sunday, 04 - 01

4730633 --> Sunday, 04 - 21

4730634 --> Sunday, 04 - 06

4730635 --> Sunday, 03 - 29

4730636 --> Sunday, 04 - 17

4730637 --> Sunday, 04 - 02

4730638 --> Sunday, 04 - 22

4730639 --> Sunday, 04 - 14

4730640 --> Sunday, 03 - 29

4730641 --> Sunday, 04 - 18

4730642 --> Sunday, 04 - 10

4730643 --> Sunday, 03 - 26

4730644 --> Sunday, 04 - 14

4730645 --> Sunday, 04 - 06

4730646 --> Sunday, 03 - 22

4730647 --> Sunday, 04 - 11

4730648 --> Sunday, 04 - 02

4730649 --> Sunday, 04 - 22

4730650 --> Sunday, 04 - 07

4730651 --> Sunday, 03 - 30

4730652 --> Sunday, 04 - 18

4730653 --> Sunday, 04 - 10

4730654 --> Sunday, 03 - 26

4730655 --> Sunday, 04 - 15

4730656 --> Sunday, 04 - 06

4730657 --> Sunday, 04 - 19

4730658 --> Sunday, 04 - 11

4730659 --> Sunday, 04 - 03

4730660 --> Sunday, 04 - 22

4730661 --> Sunday, 04 - 07

4730662 --> Sunday, 03 - 30

4730663 --> Sunday, 04 - 19

4730664 --> Sunday, 04 - 03

4730665 --> Sunday, 03 - 26

4730666 --> Sunday, 04 - 15

4730667 --> Sunday, 03 - 31

4730668 --> Sunday, 04 - 19

4730669 --> Sunday, 04 - 11

4730670 --> Sunday, 03 - 27

4730671 --> Sunday, 04 - 16

4730672 --> Sunday, 04 - 07

4730673 --> Sunday, 03 - 30

4730674 --> Sunday, 04 - 12

4730675 --> Sunday, 04 - 04

4730676 --> Sunday, 04 - 23

4730677 --> Sunday, 04 - 08

4730678 --> Sunday, 03 - 31

4730679 --> Sunday, 04 - 20

4730680 --> Sunday, 04 - 11

4730681 --> Sunday, 03 - 27

4730682 --> Sunday, 04 - 16

4730683 --> Sunday, 04 - 08

4730684 --> Sunday, 03 - 23

4730685 --> Sunday, 04 - 12

4730686 --> Sunday, 04 - 04

4730687 --> Sunday, 04 - 24

4730688 --> Sunday, 04 - 08

4730689 --> Sunday, 03 - 31

4730690 --> Sunday, 04 - 20

4730691 --> Sunday, 04 - 05

4730692 --> Sunday, 03 - 27

4730693 --> Sunday, 04 - 16

4730694 --> Sunday, 04 - 01

4730695 --> Sunday, 04 - 21

4730696 --> Sunday, 04 - 12

4730697 --> Sunday, 03 - 28

4730698 --> Sunday, 04 - 17

4730699 --> Sunday, 04 - 09

4730700 --> Sunday, 04 - 01

4730701 --> Sunday, 04 - 14

4730702 --> Sunday, 04 - 06

4730703 --> Sunday, 03 - 29

4730704 --> Sunday, 04 - 17

4730705 --> Sunday, 04 - 02

4730706 --> Sunday, 04 - 22

4730707 --> Sunday, 04 - 14

4730708 --> Sunday, 03 - 29

4730709 --> Sunday, 04 - 18

4730710 --> Sunday, 04 - 10

4730711 --> Sunday, 03 - 26

4730712 --> Sunday, 04 - 14

4730713 --> Sunday, 04 - 06

4730714 --> Sunday, 03 - 22

4730715 --> Sunday, 04 - 11

4730716 --> Sunday, 04 - 02

4730717 --> Sunday, 04 - 22

4730718 --> Sunday, 04 - 07

4730719 --> Sunday, 03 - 30

4730720 --> Sunday, 04 - 18

4730721 --> Sunday, 04 - 03

