Ascencion Day given in mod 5,700,000 (full-cycle)

This is for [years] mod 5,700,000 --> 2050000 through 2059999



2050000 --> Thursday, 05 - 11
2050315 --> Thursday, 05 - 06

2050316 --> Thursday, 05 - 25

2050317 --> Thursday, 05 - 17

2050318 --> Thursday, 05 - 09

2050319 --> Thursday, 05 - 22

2050320 --> Thursday, 05 - 13

2050321 --> Thursday, 05 - 05

2050322 --> Thursday, 05 - 25

2050323 --> Thursday, 05 - 10

2050324 --> Thursday, 05 - 29

2050325 --> Thursday, 05 - 21

2050326 --> Thursday, 05 - 06

2050327 --> Thursday, 05 - 26

2050328 --> Thursday, 05 - 17

2050329 --> Thursday, 05 - 02

2050330 --> Thursday, 05 - 22

2050331 --> Thursday, 05 - 14

2050332 --> Thursday, 06 - 02

2050333 --> Thursday, 05 - 18

2050334 --> Thursday, 05 - 10

2050335 --> Thursday, 05 - 30

2050336 --> Thursday, 05 - 14

2050337 --> Thursday, 05 - 06

2050338 --> Thursday, 05 - 26

2050339 --> Thursday, 05 - 11

2050340 --> Thursday, 05 - 02

2050341 --> Thursday, 05 - 22

2050342 --> Thursday, 05 - 14

2050343 --> Thursday, 05 - 27

2050344 --> Thursday, 05 - 18

2050345 --> Thursday, 05 - 10

2050346 --> Thursday, 05 - 30

2050347 --> Thursday, 05 - 15

2050348 --> Thursday, 05 - 06

2050349 --> Thursday, 05 - 26

2050350 --> Thursday, 05 - 11

2050351 --> Thursday, 05 - 31

2050352 --> Thursday, 05 - 22

2050353 --> Thursday, 05 - 07

2050354 --> Thursday, 05 - 27

2050355 --> Thursday, 05 - 19

2050356 --> Thursday, 05 - 03

2050357 --> Thursday, 05 - 23

2050358 --> Thursday, 05 - 15

2050359 --> Thursday, 04 - 30

2050360 --> Thursday, 05 - 19

2050361 --> Thursday, 05 - 11

2050362 --> Thursday, 05 - 31

2050363 --> Thursday, 05 - 16

2050364 --> Thursday, 05 - 07

2050365 --> Thursday, 05 - 27

2050366 --> Thursday, 05 - 12

2050367 --> Thursday, 05 - 04

2050368 --> Thursday, 05 - 23

2050369 --> Thursday, 05 - 15

2050370 --> Thursday, 05 - 28

2050371 --> Thursday, 05 - 20

2050372 --> Thursday, 05 - 11

2050373 --> Thursday, 05 - 31

2050374 --> Thursday, 05 - 16

2050375 --> Thursday, 05 - 08

2050376 --> Thursday, 05 - 27

2050377 --> Thursday, 05 - 12

2050378 --> Thursday, 05 - 04

2050379 --> Thursday, 05 - 24

2050380 --> Thursday, 05 - 08

2050381 --> Thursday, 05 - 28

2050382 --> Thursday, 05 - 20

2050383 --> Thursday, 05 - 05

2050384 --> Thursday, 05 - 24

2050385 --> Thursday, 05 - 16

2050386 --> Thursday, 05 - 01

2050387 --> Thursday, 05 - 21

2050388 --> Thursday, 05 - 12

2050389 --> Thursday, 06 - 01

2050390 --> Thursday, 05 - 17

2050391 --> Thursday, 05 - 09

2050392 --> Thursday, 05 - 28

2050393 --> Thursday, 05 - 20

2050394 --> Thursday, 05 - 05

2050395 --> Thursday, 05 - 25

2050396 --> Thursday, 05 - 16

2050397 --> Thursday, 05 - 01

2050398 --> Thursday, 05 - 21

2050399 --> Thursday, 05 - 13

2050400 --> Thursday, 06 - 01

2050401 --> Thursday, 05 - 17

2050402 --> Thursday, 05 - 09

2050403 --> Thursday, 05 - 29

2050404 --> Thursday, 05 - 13

2050405 --> Thursday, 05 - 05

2050406 --> Thursday, 05 - 25

2050407 --> Thursday, 05 - 10

2050408 --> Thursday, 05 - 29

2050409 --> Thursday, 05 - 21

2050410 --> Thursday, 05 - 06

2050411 --> Thursday, 05 - 26

2050412 --> Thursday, 05 - 17

2050413 --> Thursday, 05 - 09

2050414 --> Thursday, 05 - 22

2050415 --> Thursday, 05 - 14

2050416 --> Thursday, 05 - 05

2050417 --> Thursday, 05 - 25

2050418 --> Thursday, 05 - 10

2050419 --> Thursday, 05 - 30

2050420 --> Thursday, 05 - 21

2050421 --> Thursday, 05 - 06

2050422 --> Thursday, 05 - 26

2050423 --> Thursday, 05 - 18

2050424 --> Thursday, 05 - 02

2050425 --> Thursday, 05 - 22

2050426 --> Thursday, 05 - 14

2050427 --> Thursday, 06 - 03

